Time,electricity,lpg,mineral_wood,mains_gas,oil,wood_logs,wood_pellets,wood_chips,coal
04:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
17:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
18:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
19:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
20:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
21:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
22:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
23:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
00:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
01:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
02:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
03:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
04:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
05:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
06:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
07:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
08:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
09:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
10:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
11:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
12:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
13:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
14:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
15:30:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
16:00:00,0.000136,0.000241,0.000087,0.00021,0.000298,0.000028,0.000053,0.000023,0.000395
